time period,Coal,NG,NG-CC,Nuclear,Biomass,Hydro,Wind,Solar,Geothermal
1,0.0,0.0,28043.843764399993,5139.0,0.0,738.0,11356.9837356,0.0,5000.0
2,0.0,0.0,22023.039508,5139.0,0.0,738.0,16919.167992,0.0,5000.0
3,0.0,0.0,19688.256647999995,5139.0,0.0,738.0,18957.273852,0.0,5000.0
4,0.0,0.0,14115.874623999996,5139.0,0.0,738.0,24560.694376,0.0,5000.0
5,0.0,0.0,15135.974927999989,5139.0,0.0,738.0,23996.603572,0.0,5000.0
6,0.0,0.0,15763.767623999996,5139.0,0.0,738.0,24264.350376,0.0,5000.0
7,0.0,0.0,20774.803731999997,5139.0,0.0,738.0,20432.029767999997,0.0,5000.0
8,0.0,0.0,18982.256659999992,5139.0,0.0,738.0,22980.736340000003,0.0,5000.0
9,0.0,0.0,17616.655325999993,5139.0,0.0,738.0,22684.985028000003,1825.5956460000002,5000.0
10,0.0,0.0,25460.756574799998,5139.0,0.0,738.0,15768.316068,999.4668572,5000.0
11,0.0,0.0,22463.99728679999,5139.0,0.0,738.0,11399.9980672,8184.546146000001,5000.0
12,0.0,0.0,21094.149215999998,5139.0,0.0,738.0,15930.416236,4412.256547999999,5000.0
13,0.0,0.0,21185.299672399997,5139.0,0.0,738.0,17055.782576,2172.6192516,5000.0
14,0.0,0.0,21421.939097799997,5139.0,0.0,738.0,16382.63718,1488.1627222,5000.0
15,0.0,0.0,18040.140622799998,5139.0,0.0,738.0,17753.080008,2501.2378692,5000.0
16,0.0,0.0,8927.503585999999,5139.0,0.0,738.0,24901.04546,4074.5874540000004,5000.0
17,0.0,0.0,7354.546845999994,5139.0,0.0,738.0,26589.613572,4353.322582000001,5000.0
18,0.0,0.0,9553.050735999994,5139.0,0.0,738.0,30910.457264,0.0,5000.0
19,0.0,0.0,12806.434731999998,5139.0,0.0,738.0,29563.129268,0.0,5000.0
20,0.0,0.0,13678.768107999993,5139.0,0.0,738.0,28709.954891999998,0.0,5000.0
21,0.0,0.0,20504.6686468,5139.0,0.0,738.0,21546.1498532,0.0,5000.0
22,0.0,0.0,27269.8436468,5139.0,0.0,738.0,14137.5498532,0.0,5000.0
23,0.0,0.0,23268.92245199999,5139.0,0.0,738.0,16726.248048,0.0,5000.0
24,0.0,0.0,14346.036951999995,5139.0,0.0,738.0,24134.848048,0.0,5000.0
25,0.0,0.0,6186.425735999994,5139.0,0.0,738.0,30910.457264,0.0,5000.0
26,0.0,0.0,5216.8837359999925,5139.0,0.0,738.0,30910.457264,0.0,5000.0
27,0.0,0.0,4780.481735999998,5139.0,0.0,738.0,30910.457264,0.0,5000.0
28,0.0,0.0,4745.912736000002,5139.0,0.0,738.0,30910.457264,0.0,5000.0
29,0.0,0.0,5411.981235999996,5139.0,0.0,738.0,30910.457264,0.0,5000.0
30,0.0,0.0,6736.999735999994,5139.0,0.0,738.0,30910.457264,0.0,5000.0
31,0.0,0.0,8610.878735999995,5139.0,0.0,738.0,30910.457264,0.0,5000.0
32,0.0,0.0,10331.083235999995,5139.0,0.0,738.0,30910.457264,0.0,5000.0
33,0.0,0.0,4030.1610699999947,5139.0,0.0,738.0,30910.457264,6905.1551660000005,5000.0
34,0.0,0.0,2357.543819999988,5139.0,0.0,738.0,29922.150024000002,8847.858656,5000.0
35,0.0,0.0,290.5833539999894,5139.0,0.0,738.0,30262.797452000003,8904.946694,5000.0
36,0.0,0.0,1375.9570659999918,5139.0,0.0,738.0,29562.684752,6561.649681999999,5000.0
37,0.0,0.0,0.0,3854.25,0.0,738.0,30841.705456,7948.104486000001,2915.8130579999915
38,0.0,0.0,1232.945509999994,5139.0,0.0,738.0,25168.792264000003,7152.455226000001,5000.0
39,0.0,0.0,5257.435557999996,5139.0,0.0,738.0,20647.471856,6322.059085999999,5000.0
40,0.0,0.0,8074.878583999998,5139.0,0.0,738.0,15217.412572,8233.761843999999,5000.0
41,0.0,0.0,13810.957133999997,5139.0,0.0,738.0,14943.590716,3041.03065,5000.0
42,0.0,0.0,26050.952548,5139.0,0.0,738.0,7851.782452,0.0,5000.0
43,0.0,0.0,25266.961835999995,5139.0,0.0,738.0,12066.683164,0.0,5000.0
44,0.0,0.0,29666.043847599998,5139.0,0.0,738.0,8606.0816524,0.0,5000.0
45,0.0,0.0,31109.223902799997,5139.0,0.0,738.0,7684.9555972,0.0,5000.0
46,0.0,0.0,35013.2598696,5139.0,0.0,738.0,3644.0236304,0.0,5000.0
47,0.0,0.0,33360.4265612,5139.0,0.0,738.0,4433.7359387999995,0.0,5000.0
48,0.0,0.0,34666.2543284,5139.0,0.0,738.0,2075.9341716,0.0,5000.0
49,0.0,0.0,33733.7935936,5139.0,0.0,738.0,2100.5159064,0.0,5000.0
50,0.0,0.0,34413.97214671999,5139.0,0.0,738.0,846.24585328,0.0,5000.0
51,0.0,0.0,34738.43212571999,5139.0,0.0,738.0,477.55687428,0.0,5000.0
52,0.0,0.0,35162.85550763999,5139.0,0.0,738.0,374.52399235999997,0.0,5000.0
53,0.0,0.0,35763.37803796,5139.0,0.0,738.0,375.25596204,0.0,5000.0
54,0.0,0.0,37097.746315239994,5139.0,0.0,738.0,267.35118476,0.0,5000.0
55,0.0,0.0,38417.713713,5139.0,0.0,738.0,530.0482870000001,0.0,5000.0
56,0.0,0.0,39359.05280807999,5139.0,0.0,738.0,850.19019192,0.0,5000.0
57,0.0,0.0,31759.070448399994,5139.0,0.0,738.0,1534.2914256000001,6857.921126,5000.0
58,0.0,0.0,28092.708147600002,5139.0,0.0,738.0,1688.3014024,8736.26145,5000.0
59,0.0,0.0,25874.150376399994,5139.0,0.0,738.0,1596.1532356,8885.645888000001,5000.0
60,0.0,0.0,24468.899029999993,5139.0,0.0,738.0,1636.115224,8289.058245999999,5000.0
61,0.0,0.0,22449.653903199993,5139.0,0.0,738.0,2336.4353647999997,7944.059732000001,5000.0
62,0.0,0.0,19835.620678400002,5139.0,0.0,738.0,3311.9849956,8193.504326,5000.0
63,0.0,0.0,16106.810379599996,5139.0,0.0,738.0,5455.5004164,8726.733204,5000.0
64,0.0,0.0,15389.735756399998,5139.0,0.0,738.0,5987.8231436,8519.7721,5000.0
65,0.0,0.0,13383.821961999995,5139.0,0.0,738.0,10010.426233999999,6754.576304,5000.0
66,0.0,0.0,14516.047266000001,5139.0,0.0,738.0,17419.026233999997,0.0,5000.0
67,0.0,0.0,18758.027928,5139.0,0.0,738.0,15865.665072,0.0,5000.0
68,0.0,0.0,11795.593427999993,5139.0,0.0,738.0,23274.265072000002,0.0,5000.0
69,0.0,0.0,6164.095219999992,5139.0,0.0,738.0,28817.972279999998,0.0,5000.0
70,0.0,0.0,4836.577835999997,5139.0,0.0,738.0,29569.500664,0.0,5000.0
71,0.0,0.0,4219.378143999995,5139.0,0.0,738.0,28778.410356,0.0,5000.0
72,0.0,0.0,574.8972360000007,5139.0,0.0,738.0,30910.457264,0.0,5000.0
73,0.0,0.0,0.0,4678.931735999995,0.0,738.0,30910.457264,0.0,5000.0
74,0.0,0.0,0.0,4655.118535999998,0.0,738.0,30573.365964,0.0,5000.0
75,0.0,0.0,0.0,4799.058079999995,0.0,738.0,30484.16642,0.0,5000.0
76,0.0,0.0,1594.5020440000008,5139.0,0.0,738.0,29174.770456,0.0,5000.0
77,0.0,0.0,3535.6528879999933,5139.0,0.0,738.0,28618.829112000003,0.0,5000.0
78,0.0,0.0,5631.621027999994,5139.0,0.0,738.0,29323.386972,0.0,5000.0
79,0.0,0.0,10080.542175999992,5139.0,0.0,738.0,28740.478324,0.0,5000.0
80,0.0,0.0,11297.824691999998,5139.0,0.0,738.0,30018.017308,0.0,5000.0
81,0.0,0.0,5267.583425999997,5139.0,0.0,738.0,30910.457264,4824.79431,5000.0
82,0.0,0.0,587.9180460000043,4366.369835999993,0.0,738.0,30910.457264,8394.873354,5000.0
83,0.0,0.0,0.0,3081.6198359999926,0.0,738.0,30867.635556,8534.648108,5000.0
84,0.0,0.0,0.0,2319.2150779999956,0.0,738.0,30910.457264,7938.684824,4887.418833999995
85,0.0,0.0,0.0,3603.9650779999956,0.0,738.0,30910.457264,5519.406158,5000.0
86,0.0,0.0,408.8774779999985,4888.715077999996,0.0,738.0,30910.457264,3205.39968,5000.0
87,0.0,0.0,1169.5785473999913,5139.0,0.0,738.0,30910.457264,1743.2916886,5000.0
88,0.0,0.0,2067.579820799998,5139.0,0.0,738.0,30867.339212000003,695.0244672,5000.0
89,0.0,0.0,3031.8348201999943,5139.0,0.0,738.0,30374.222796000002,168.0418838,5000.0
90,0.0,0.0,3546.336235999999,5139.0,0.0,738.0,30910.457264,0.0,5000.0
91,0.0,0.0,5723.780735999997,5139.0,0.0,738.0,30910.457264,0.0,5000.0
92,0.0,0.0,5739.266647999997,5139.0,0.0,738.0,30644.340352,0.0,5000.0
93,0.0,0.0,4721.486735999995,5139.0,0.0,738.0,30910.457264,0.0,5000.0
94,0.0,0.0,3587.8512359999986,5139.0,0.0,738.0,30910.457264,0.0,5000.0
95,0.0,0.0,1755.6137359999957,5139.0,0.0,738.0,30910.457264,0.0,5000.0
96,0.0,0.0,0.0,4867.083235999995,0.0,738.0,30910.457264,0.0,5000.0
97,0.0,0.0,0.0,3610.029735999993,0.0,738.0,30910.457264,0.0,5000.0
98,0.0,0.0,0.0,3194.8452359999974,0.0,738.0,30910.457264,0.0,5000.0
99,0.0,0.0,0.0,3246.5492359999953,0.0,738.0,30910.457264,0.0,5000.0
100,0.0,0.0,0.0,3844.813736,0.0,738.0,30910.457264,0.0,5000.0
101,0.0,0.0,7484.877364,5129.563736,0.0,738.0,23644.546899999998,0.0,5000.0
102,0.0,0.0,17290.11212,5139.0,0.0,738.0,16767.88438,0.0,5000.0
103,0.0,0.0,14099.827119999994,5139.0,0.0,738.0,24176.48438,0.0,5000.0
104,0.0,0.0,9816.837735999998,5139.0,0.0,738.0,30910.457264,0.0,5000.0
