time period,Coal,NG,NG-CC,Nuclear,Biomass,Hydro,Wind,Solar,Geothermal
1,0.0,0.0,21485.8662644,5139.0,0.0,738.0,11356.9837356,0.0,5000.0
2,0.0,0.0,15524.882008000004,5139.0,0.0,738.0,16919.167992,0.0,5000.0
3,0.0,0.0,13228.796148000001,5139.0,0.0,738.0,18957.273852,0.0,5000.0
4,0.0,0.0,7652.365623999998,5139.0,0.0,738.0,24560.694376,0.0,5000.0
5,0.0,0.0,8612.986427999997,5139.0,0.0,738.0,23996.603572,0.0,5000.0
6,0.0,0.0,9123.969624000001,5139.0,0.0,738.0,24264.350376,0.0,5000.0
7,0.0,0.0,13981.260232000004,5139.0,0.0,738.0,20432.029767999997,0.0,5000.0
8,0.0,0.0,12090.083659999997,5139.0,0.0,738.0,22980.736340000003,0.0,5000.0
9,0.0,0.0,10703.059325999995,5139.0,0.0,738.0,22684.985028000003,1825.5956460000002,5000.0
10,0.0,0.0,18533.947074800002,5139.0,0.0,738.0,15768.316068,999.4668572,5000.0
11,0.0,0.0,15560.665786799997,5139.0,0.0,738.0,11399.9980672,8184.546146000001,5000.0
12,0.0,0.0,14270.607216000004,5139.0,0.0,738.0,15930.416236,4412.256547999999,5000.0
13,0.0,0.0,14495.208172399998,5139.0,0.0,738.0,17055.782576,2172.6192516,5000.0
14,0.0,0.0,14878.060097800004,5139.0,0.0,738.0,16382.63718,1488.1627222,5000.0
15,0.0,0.0,11626.472122799998,5139.0,0.0,738.0,17753.080008,2501.2378692,5000.0
16,0.0,0.0,2564.8770860000004,5139.0,0.0,738.0,24901.04546,4074.5874540000004,5000.0
17,0.0,0.0,940.4838459999992,5139.0,0.0,738.0,26589.613572,4353.322582000001,5000.0
18,0.0,0.0,2856.4627359999977,5139.0,0.0,738.0,30910.457264,0.0,5000.0
19,0.0,0.0,5861.230732,5139.0,0.0,738.0,29563.129268,0.0,5000.0
20,0.0,0.0,6731.065107999999,5139.0,0.0,738.0,28709.954891999998,0.0,5000.0
21,0.0,0.0,13601.040146800002,5139.0,0.0,738.0,21546.1498532,0.0,5000.0
22,0.0,0.0,20450.140146800004,5139.0,0.0,738.0,14137.5498532,0.0,5000.0
23,0.0,0.0,16633.421951999997,5139.0,0.0,738.0,16726.248048,0.0,5000.0
24,0.0,0.0,7908.051952000002,5139.0,0.0,738.0,24134.848048,0.0,5000.0
25,0.0,0.0,0.0,5067.962735999998,0.0,738.0,30910.457264,0.0,5000.0
26,0.0,0.0,0.0,4224.882735999996,0.0,738.0,30910.457264,0.0,5000.0
27,0.0,0.0,0.0,3845.402736,0.0,738.0,30910.457264,0.0,5000.0
28,0.0,0.0,0.0,3815.3427360000023,0.0,738.0,30910.457264,0.0,5000.0
29,0.0,0.0,0.0,4394.532735999997,0.0,738.0,30910.457264,0.0,5000.0
30,0.0,0.0,407.7227359999997,5139.0,0.0,738.0,30910.457264,0.0,5000.0
31,0.0,0.0,2314.4051660000005,4861.777569999998,0.0,738.0,30910.457264,0.0,5000.0
32,0.0,0.0,5094.985166000002,3577.0275699999984,0.0,738.0,30910.457264,0.0,5000.0
33,0.0,0.0,0.0,2292.2775699999984,0.0,738.0,30910.457264,6905.1551660000005,5000.0
34,0.0,0.0,0.0,1007.5275699999984,0.0,738.0,29922.150024000002,8847.858656,4705.8137499999975
35,0.0,0.0,0.0,0.0,0.0,738.0,30262.797452000003,8904.946694,3864.105853999996
36,0.0,0.0,0.0,204.8755659999988,0.0,738.0,29562.684752,6561.649681999999,5000.0
37,0.0,0.0,0.0,0.0,0.0,738.0,30841.705456,7948.104486000001,731.210057999996
38,0.0,0.0,0.0,1284.75,0.0,738.0,25168.792264000003,7152.455226000001,4291.822509999995
39,0.0,0.0,2204.6790579999997,2569.5,0.0,738.0,20647.471856,6322.059085999999,5000.0
40,0.0,0.0,3828.7955840000013,3854.25,0.0,738.0,15217.412572,8233.761843999999,5000.0
41,0.0,0.0,8244.968633999997,5139.0,0.0,738.0,14943.590716,3041.03065,5000.0
42,0.0,0.0,20210.117548000002,5139.0,0.0,738.0,7851.782452,0.0,5000.0
43,0.0,0.0,18978.616836,5139.0,0.0,738.0,12066.683164,0.0,5000.0
44,0.0,0.0,23255.2883476,5139.0,0.0,738.0,8606.0816524,0.0,5000.0
45,0.0,0.0,24630.3744028,5139.0,0.0,738.0,7684.9555972,0.0,5000.0
46,0.0,0.0,28552.2663696,5139.0,0.0,738.0,3644.0236304,0.0,5000.0
47,0.0,0.0,27012.014061200003,5139.0,0.0,738.0,4433.7359387999995,0.0,5000.0
48,0.0,0.0,28455.0558284,5139.0,0.0,738.0,2075.9341716,0.0,5000.0
49,0.0,0.0,27641.014093599995,5139.0,0.0,738.0,2100.5159064,0.0,5000.0
50,0.0,0.0,28396.07414672,5139.0,0.0,738.0,846.24585328,0.0,5000.0
51,0.0,0.0,28726.30312572,5139.0,0.0,738.0,477.55687428,0.0,5000.0
52,0.0,0.0,29108.80600764,5139.0,0.0,738.0,374.52399235999997,0.0,5000.0
53,0.0,0.0,29630.904037960005,5139.0,0.0,738.0,375.25596204,0.0,5000.0
54,0.0,0.0,30805.29881524,5139.0,0.0,738.0,267.35118476,0.0,5000.0
55,0.0,0.0,31918.831713,5139.0,0.0,738.0,530.0482870000001,0.0,5000.0
56,0.0,0.0,32695.629808079997,5139.0,0.0,738.0,850.19019192,0.0,5000.0
57,0.0,0.0,25103.207448399997,5139.0,0.0,738.0,1534.2914256000001,6857.921126,5000.0
58,0.0,0.0,21649.977147600002,5139.0,0.0,738.0,1688.3014024,8736.26145,5000.0
59,0.0,0.0,19713.330876399996,5139.0,0.0,738.0,1596.1532356,8885.645888000001,5000.0
60,0.0,0.0,18563.97653,5139.0,0.0,738.0,1636.115224,8289.058245999999,5000.0
61,0.0,0.0,16761.764903199997,5139.0,0.0,738.0,2336.4353647999997,7944.059732000001,5000.0
62,0.0,0.0,14328.910678399996,5139.0,0.0,738.0,3311.9849956,8193.504326,5000.0
63,0.0,0.0,10737.3263796,5139.0,0.0,738.0,5455.5004164,8726.733204,5000.0
64,0.0,0.0,10071.344756400002,5139.0,0.0,738.0,5987.8231436,8519.7721,5000.0
65,0.0,0.0,8032.627461999997,5139.0,0.0,738.0,10010.426233999999,6754.576304,5000.0
66,0.0,0.0,8931.863766000002,5139.0,0.0,738.0,17419.026233999997,0.0,5000.0
67,0.0,0.0,12823.154928,5139.0,0.0,738.0,15865.665072,0.0,5000.0
68,0.0,0.0,5802.524927999999,5139.0,0.0,738.0,23274.265072000002,0.0,5000.0
69,0.0,0.0,182.47771999999895,5139.0,0.0,738.0,28817.972279999998,0.0,5000.0
70,0.0,0.0,214.83933599999727,3854.25,0.0,738.0,29569.500664,0.0,5000.0
71,0.0,0.0,1066.0796439999976,2569.5,0.0,738.0,28778.410356,0.0,5000.0
72,0.0,0.0,0.0,1284.75,0.0,738.0,30910.457264,0.0,3903.622736000001
73,0.0,0.0,0.0,0.0,0.0,738.0,30910.457264,0.0,4288.402736
74,0.0,0.0,0.0,0.0,0.0,738.0,30573.365964,0.0,4311.664035999998
75,0.0,0.0,0.0,16.62954400000308,0.0,738.0,30484.16642,0.0,4431.834035999993
76,0.0,0.0,0.0,1301.379544000003,0.0,738.0,29174.770456,0.0,5000.0
