time period,Coal,NG,NG-CC,Nuclear,Biomass,Hydro,Wind,Solar,Geothermal
1,0.0,0.0,18985.8662644,5139.0,0.0,738.0,11356.9837356,0.0,7500.0
2,0.0,0.0,13024.882008000004,5139.0,0.0,738.0,16919.167992,0.0,7500.0
3,0.0,0.0,10728.796148000001,5139.0,0.0,738.0,18957.273852,0.0,7500.0
4,0.0,0.0,5152.365623999998,5139.0,0.0,738.0,24560.694376,0.0,7500.0
5,0.0,0.0,6112.9864279999965,5139.0,0.0,738.0,23996.603572,0.0,7500.0
6,0.0,0.0,6623.969624000001,5139.0,0.0,738.0,24264.350376,0.0,7500.0
7,0.0,0.0,11481.260232000004,5139.0,0.0,738.0,20432.029767999997,0.0,7500.0
8,0.0,0.0,9590.083659999997,5139.0,0.0,738.0,22980.736340000003,0.0,7500.0
9,0.0,0.0,8203.059325999995,5139.0,0.0,738.0,22684.985028000003,1825.5956460000002,7500.0
10,0.0,0.0,16033.947074800002,5139.0,0.0,738.0,15768.316068,999.4668572,7500.0
11,0.0,0.0,13060.665786799997,5139.0,0.0,738.0,11399.9980672,8184.546146000001,7500.0
12,0.0,0.0,11770.607216000004,5139.0,0.0,738.0,15930.416236,4412.256547999999,7500.0
13,0.0,0.0,11995.208172399998,5139.0,0.0,738.0,17055.782576,2172.6192516,7500.0
14,0.0,0.0,12378.060097800004,5139.0,0.0,738.0,16382.63718,1488.1627222,7500.0
15,0.0,0.0,9126.472122799998,5139.0,0.0,738.0,17753.080008,2501.2378692,7500.0
16,0.0,0.0,64.87708600000042,5139.0,0.0,738.0,24901.04546,4074.5874540000004,7500.0
17,0.0,0.0,0.0,3579.483845999999,0.0,738.0,26589.613572,4353.322582000001,7500.0
18,0.0,0.0,356.4627359999977,5139.0,0.0,738.0,30910.457264,0.0,7500.0
19,0.0,0.0,3361.230732,5139.0,0.0,738.0,29563.129268,0.0,7500.0
20,0.0,0.0,4231.065107999999,5139.0,0.0,738.0,28709.954891999998,0.0,7500.0
21,0.0,0.0,3637.779495999999,5139.0,0.0,738.0,29009.410504000003,0.0,7500.0
22,0.0,0.0,17950.140146800004,5139.0,0.0,738.0,14137.5498532,0.0,7500.0
23,0.0,0.0,14133.421951999997,5139.0,0.0,738.0,16726.248048,0.0,7500.0
24,0.0,0.0,4714.310648000002,5139.0,0.0,738.0,24828.589352,0.0,7500.0
25,0.0,0.0,0.0,2567.9627359999977,0.0,738.0,30910.457264,0.0,7500.0
26,0.0,0.0,0.0,1724.882735999996,0.0,738.0,30910.457264,0.0,7500.0
27,0.0,0.0,0.0,1345.402736,0.0,738.0,30910.457264,0.0,7500.0
28,0.0,0.0,0.0,1315.3427360000023,0.0,738.0,30910.457264,0.0,7500.0
29,0.0,0.0,0.0,1894.5327359999974,0.0,738.0,30910.457264,0.0,7500.0
30,0.0,0.0,0.0,3046.7227359999997,0.0,738.0,30910.457264,0.0,7500.0
31,0.0,0.0,0.0,4676.182735999999,0.0,738.0,30910.457264,0.0,7500.0
32,0.0,0.0,1033.0127360000006,5139.0,0.0,738.0,30910.457264,0.0,7500.0
33,0.0,0.0,0.0,0.0,0.0,738.0,30910.457264,6905.1551660000005,7292.277569999998
34,0.0,0.0,0.0,0.0,0.0,738.0,29922.150024000002,8847.858656,5713.341319999996
35,0.0,0.0,0.0,0.0,0.0,738.0,30262.797452000003,8904.946694,3864.105853999996
