t,Demand
1,43719.85
2,43321.05
3,43063.07
4,43090.06
5,43486.59
6,44265.32
7,45290.29
8,45947.82
9,46090.64
10,46178.73
11,46022.21
12,45490.28
13,44600.61
14,43625.86
15,42757.79
16,42417.51
17,42760.42
18,44643.92
19,46301.36
20,46318.02
21,46024.19
22,45464.69
23,44236.67
24,42919.90
25,41716.42
26,40873.34
27,40493.86
28,40463.80
29,41042.99
30,42195.18
31,43824.64
32,45320.47
33,45845.89
34,45221.35
35,43769.85
36,42067.21
37,40259.02
38,38635.82
39,37481.71
40,36872.22
41,37106.59
42,38938.90
43,41922.30
44,42738.37
45,43192.33
46,43073.29
47,42322.75
48,41407.99
49,40618.53
50,40119.32
51,40080.86
52,40360.33
53,40883.16
54,41949.65
55,43325.88
56,44422.82
57,44372.42
58,42951.54
59,41072.13
60,39366.15
61,37919.26
62,36711.40
63,35796.56
64,35455.94
65,35674.63
66,37227.89
67,39565.82
68,39953.79
69,39877.45
70,39376.59
71,38151.99
72,36836.83
73,35936.86
74,35623.03
75,35670.63
76,36214.15
77,37418.68
78,39853.92
79,43215.67
80,45385.08
81,45112.90
82,43476.19
83,41932.09
84,40690.24
85,39801.59
86,39262.13
87,38869.85
88,38701.69
89,38653.13
90,39420.69
91,41314.12
92,41096.18
93,40442.56
94,39456.79
95,37863.54
96,36100.47
97,35007.38
98,34646.35
99,34691.31
100,35211.54
101,36519.12
102,39073.91
103,42742.01
104,44873.30
105,44600.29
106,43264.37
107,42035.42
108,40946.15
109,39999.25
110,39398.66
111,38851.66
112,38578.31
113,38654.58
114,39784.69
115,41685.46
116,41482.46
117,40825.81
118,39480.91
119,37541.64
120,35429.82
121,33903.34
122,32944.98
123,32457.68
124,32364.34
125,33023.31
126,34883.98
127,37689.14
128,39324.76
129,39843.82
130,40494.79
131,40844.49
132,41033.50
133,40812.18
134,40555.33
135,40253.97
136,40318.72
137,41149.19
138,42240.13
139,43295.60
140,42956.85
141,42344.96
142,41175.38
143,39372.49
144,37659.62
145,36613.29
146,36066.32
147,35945.71
148,36288.73
149,37466.03
150,39944.67
151,43601.44
152,45750.90
153,45855.42
154,45208.91
155,44440.11
156,43519.17
157,42640.25
158,41869.85
159,41267.55
160,40999.48
161,41346.05
162,42806.46
163,44727.25
164,44865.67
165,44576.41
166,43523.69
167,41756.30
168,40085.27
169,39066.88
