t,Wind,Solar,Geothermal,Biomass
1,0.3065892,0,1,0.832621561
2,0.456744,0,1,0.833113404
3,0.511764,0,1,0.833397313
4,0.663032,0,1,0.83359325
5,0.647804,0,1,0.833803183
6,0.655032,0,1,0.833929143
7,0.551576,0,1,0.833573257
8,0.62038,0,1,0.832493602
9,0.612396,0.134502,1,0.831020074
10,0.425676,0.0736364,1,0.829800464
11,0.3077504,0.603002,1,0.82856286
12,0.430052,0.325076,1,0.827131318
13,0.460432,0.1600692,1,0.825947697
14,0.44226,0.1096414,1,0.825307901
15,0.479256,0.1842804,1,0.825097969
16,0.67222,0.300198,1,0.825465851
17,0.717804,0.320734,1,0.826619482
18,0.834448,0,1,0.82728127
19,0.798076,0,1,0.827977047
20,0.775044,0,1,0.827977047
21,0.783128,0,1,0.827683141
22,0.3816524,0,1,0.827299264
23,0.451536,0,1,0.826727447
24,0.670264,0,1,0.826361564
25,0.834448,0,1,0.826355566
26,0.834448,0,1,0.82646753
27,0.834448,0,1,0.826805422
28,0.834448,0,1,0.827027351
29,0.834448,0,1,0.827139315
30,0.834448,0,1,0.827139315
31,0.834448,0,1,0.827025352
32,0.834448,0,1,0.826397553
33,0.834448,0.508742,1,0.825317898
34,0.807768,0.651872,1,0.824236244
35,0.816964,0.656078,1,0.823180582
36,0.798064,0.483434,1,0.822152911
37,0.832592,0.585582,1,0.821241203
38,0.679448,0.526962,1,0.820541427
39,0.557392,0.465782,1,0.820159549
40,0.410804,0.606628,1,0.820677383
41,0.403412,0.22405,1,0.82246881
42,0.211964,0,1,0.823790387
43,0.325748,0,1,0.82512396
44,0.2323268,0,1,0.825783749
45,0.2074604,0,1,0.826575496
46,0.0983728,0,1,0.82725128
47,0.1196916,0,1,0.827701136
48,0.0560412,0,1,0.827925064
49,0.0567048,0,1,0.828484885
50,0.02284496,0,1,0.82959453
51,0.01289196,0,1,0.830696177
52,0.01011052,0,1,0.831355966
53,0.01013028,0,1,0.831793826
54,0.00721732,0,1,0.831723848
55,0.014309,0,1,0.831549904
56,0.02295144,0,1,0.830976088
57,0.0414192,0.505262,1,0.829442578
58,0.0455768,0.64365,1,0.827273273
59,0.0430892,0.654656,1,0.824908029
60,0.044168,0.610702,1,0.822690739
61,0.0630736,0.585284,1,0.821411148
62,0.0894092,0.603662,1,0.820921305
63,0.1472748,0.642948,1,0.821143234
64,0.1616452,0.6277,1,0.822194898
65,0.270238,0.497648,1,0.824272233
66,0.543408,0,1,0.825711772
67,0.428304,0,1,0.828294946
68,0.706468,0,1,0.82974848
69,0.77796,0,1,0.830884117
70,0.798248,0,1,0.831611884
71,0.776892,0,1,0.832135717
72,0.834448,0,1,0.83265555
73,0.834448,0,1,0.83346729
74,0.825348,0,1,0.834277031
75,0.82294,0,1,0.834984805
76,0.787592,0,1,0.83559461
77,0.772584,0,1,0.836008477
78,0.791604,0,1,0.836226408
79,0.775868,0,1,0.836252399
80,0.810356,0,1,0.834388996
81,0.834448,0.35547,1,0.83131398
82,0.834448,0.618498,1,0.827979047
83,0.833292,0.628796,1,0.824170266
84,0.834448,0.584888,1,0.821547105
85,0.834448,0.406646,1,0.820131558
86,0.834448,0.23616,1,0.819527751
87,0.834448,0.1284382,1,0.819631718
88,0.833284,0.0512064,1,0.820959293
89,0.819972,0.0123806,1,0.823208573
90,0.834448,0,1,0.825017994
91,0.834448,0,1,0.82662348
92,0.827264,0,1,0.82765515
93,0.834448,0,1,0.828970729
94,0.834448,0,1,0.830278311
95,0.834448,0,1,0.831287988
96,0.834448,0,1,0.83190779
97,0.834448,0,1,0.832323656
98,0.834448,0,1,0.832833493
99,0.834448,0,1,0.833329335
100,0.834448,0,1,0.83381318
101,0.6383,0,1,0.834305022
102,0.45266,0,1,0.834808861
103,0.830412,0,1,0.834928823
104,0.834448,0,1,0.833453295
105,0.834448,0.00420774,1,0.830446257
106,0.834448,0.0564658,1,0.8265615
107,0.834448,0.1926748,1,0.822346849
108,0.834448,0.227912,1,0.819435781
109,0.834448,0.214686,1,0.817732326
110,0.834448,0.1299872,1,0.817018554
111,0.834448,0.0880776,1,0.817012556
112,0.834448,0.0499768,1,0.818722009
113,0.834448,0.01159078,1,0.822354846
114,0.834448,0,1,0.824630118
115,0.834448,0,1,0.826297585
116,0.834448,0,1,0.827009357
117,0.834448,0,1,0.827803103
118,0.834448,0,1,0.828672825
119,0.834448,0,1,0.829520553
120,0.834448,0,1,0.830264315
121,0.834448,0,1,0.830922105
122,0.82474,0,1,0.831503919
123,0.834448,0,1,0.83202975
124,0.754548,0,1,0.832465611
125,0.769884,0,1,0.832791507
126,0.766952,0,1,0.833117402
127,0.81116,0,1,0.833117402
128,0.786836,0,1,0.831377959
129,0.668976,0.503472,1,0.828542866
130,0.417636,0.405688,1,0.825177943
131,0.3543252,0.625974,1,0.821585093
132,0.300744,0.583678,1,0.818947937
133,0.2055212,0.558624,1,0.817652351
134,0.3212708,0.578808,1,0.817464411
135,0.1740856,0.613722,1,0.81797025
136,0.0658908,0.611772,1,0.81931182
137,0.0507692,0.494628,1,0.82146913
138,0.00875368,0,1,0.822988644
139,0,0,1,0.82422025
140,0,0,1,0.825497841
141,0,0,1,0.82665547
142,0,0,1,0.82762516
143,0,0,1,0.828764795
144,0,0,1,0.829996401
